"geoid","geolevel","year","state","level","value"
17001,"county",2023,"IL","housing_score",107.45
17001,"county",2023,"IL","housing_score",107.45
17003,"county",2023,"IL","housing_score",59.32
17003,"county",2023,"IL","housing_score",59.32
17005,"county",2023,"IL","housing_score",103.04
17005,"county",2023,"IL","housing_score",103.04
17007,"county",2023,"IL","housing_score",118.85
17007,"county",2023,"IL","housing_score",118.85
17009,"county",2023,"IL","housing_score",105.27
17009,"county",2023,"IL","housing_score",105.27
17011,"county",2023,"IL","housing_score",105.61
17011,"county",2023,"IL","housing_score",105.61
17013,"county",2023,"IL","housing_score",72.46
17013,"county",2023,"IL","housing_score",72.46
17015,"county",2023,"IL","housing_score",97.7
17015,"county",2023,"IL","housing_score",97.7
17017,"county",2023,"IL","housing_score",98.85
17017,"county",2023,"IL","housing_score",98.85
17019,"county",2023,"IL","housing_score",119.24
17019,"county",2023,"IL","housing_score",119.24
17021,"county",2023,"IL","housing_score",101.24
17021,"county",2023,"IL","housing_score",101.24
17023,"county",2023,"IL","housing_score",103.2
17023,"county",2023,"IL","housing_score",103.2
17025,"county",2023,"IL","housing_score",94.12
17025,"county",2023,"IL","housing_score",94.12
17027,"county",2023,"IL","housing_score",111.15
17027,"county",2023,"IL","housing_score",111.15
17029,"county",2023,"IL","housing_score",103.16
17029,"county",2023,"IL","housing_score",103.16
17031,"county",2023,"IL","housing_score",156.11
17031,"county",2023,"IL","housing_score",156.11
17033,"county",2023,"IL","housing_score",99.22
17033,"county",2023,"IL","housing_score",99.22
17035,"county",2023,"IL","housing_score",94.12
17035,"county",2023,"IL","housing_score",94.12
17037,"county",2023,"IL","housing_score",127.89
17037,"county",2023,"IL","housing_score",127.89
17039,"county",2023,"IL","housing_score",107.02
17039,"county",2023,"IL","housing_score",107.02
17041,"county",2023,"IL","housing_score",108.2
17041,"county",2023,"IL","housing_score",108.2
17043,"county",2023,"IL","housing_score",143.23
17043,"county",2023,"IL","housing_score",143.23
17045,"county",2023,"IL","housing_score",99.03
17045,"county",2023,"IL","housing_score",99.03
17047,"county",2023,"IL","housing_score",83.43
17047,"county",2023,"IL","housing_score",83.43
17049,"county",2023,"IL","housing_score",103.63
17049,"county",2023,"IL","housing_score",103.63
17051,"county",2023,"IL","housing_score",93.75
17051,"county",2023,"IL","housing_score",93.75
17053,"county",2023,"IL","housing_score",105.19
17053,"county",2023,"IL","housing_score",105.19
17055,"county",2023,"IL","housing_score",86.18
17055,"county",2023,"IL","housing_score",86.18
17057,"county",2023,"IL","housing_score",101.26
17057,"county",2023,"IL","housing_score",101.26
17059,"county",2023,"IL","housing_score",81.09
17059,"county",2023,"IL","housing_score",81.09
17061,"county",2023,"IL","housing_score",85.09
17061,"county",2023,"IL","housing_score",85.09
17063,"county",2023,"IL","housing_score",127.15
17063,"county",2023,"IL","housing_score",127.15
17065,"county",2023,"IL","housing_score",85.12
17065,"county",2023,"IL","housing_score",85.12
17067,"county",2023,"IL","housing_score",93.32
17067,"county",2023,"IL","housing_score",93.32
17069,"county",2023,"IL","housing_score",67.15
17069,"county",2023,"IL","housing_score",67.15
17071,"county",2023,"IL","housing_score",86.44
17071,"county",2023,"IL","housing_score",86.44
17073,"county",2023,"IL","housing_score",104.06
17073,"county",2023,"IL","housing_score",104.06
17075,"county",2023,"IL","housing_score",97.09
17075,"county",2023,"IL","housing_score",97.09
17077,"county",2023,"IL","housing_score",96.02
17077,"county",2023,"IL","housing_score",96.02
17079,"county",2023,"IL","housing_score",92.73
17079,"county",2023,"IL","housing_score",92.73
17081,"county",2023,"IL","housing_score",98.63
17081,"county",2023,"IL","housing_score",98.63
17083,"county",2023,"IL","housing_score",100.54
17083,"county",2023,"IL","housing_score",100.54
17085,"county",2023,"IL","housing_score",106.07
17085,"county",2023,"IL","housing_score",106.07
17087,"county",2023,"IL","housing_score",87.45
17087,"county",2023,"IL","housing_score",87.45
17089,"county",2023,"IL","housing_score",137.31
17089,"county",2023,"IL","housing_score",137.31
17091,"county",2023,"IL","housing_score",114.63
17091,"county",2023,"IL","housing_score",114.63
17093,"county",2023,"IL","housing_score",144.78
17093,"county",2023,"IL","housing_score",144.78
17095,"county",2023,"IL","housing_score",94.89
17095,"county",2023,"IL","housing_score",94.89
17097,"county",2023,"IL","housing_score",140.22
17097,"county",2023,"IL","housing_score",140.22
17099,"county",2023,"IL","housing_score",109.69
17099,"county",2023,"IL","housing_score",109.69
17101,"county",2023,"IL","housing_score",88.47
17101,"county",2023,"IL","housing_score",88.47
17103,"county",2023,"IL","housing_score",108.86
17103,"county",2023,"IL","housing_score",108.86
17105,"county",2023,"IL","housing_score",105.75
17105,"county",2023,"IL","housing_score",105.75
17107,"county",2023,"IL","housing_score",108.65
17107,"county",2023,"IL","housing_score",108.65
17109,"county",2023,"IL","housing_score",102.02
17109,"county",2023,"IL","housing_score",102.02
17111,"county",2023,"IL","housing_score",136.78
17111,"county",2023,"IL","housing_score",136.78
17113,"county",2023,"IL","housing_score",121.93
17113,"county",2023,"IL","housing_score",121.93
17115,"county",2023,"IL","housing_score",103.69
17115,"county",2023,"IL","housing_score",103.69
17117,"county",2023,"IL","housing_score",95.72
17117,"county",2023,"IL","housing_score",95.72
17119,"county",2023,"IL","housing_score",115.63
17119,"county",2023,"IL","housing_score",115.63
17121,"county",2023,"IL","housing_score",97.54
17121,"county",2023,"IL","housing_score",97.54
17123,"county",2023,"IL","housing_score",97.16
17123,"county",2023,"IL","housing_score",97.16
17125,"county",2023,"IL","housing_score",94.56
17125,"county",2023,"IL","housing_score",94.56
17127,"county",2023,"IL","housing_score",89.26
17127,"county",2023,"IL","housing_score",89.26
17129,"county",2023,"IL","housing_score",111.77
17129,"county",2023,"IL","housing_score",111.77
17131,"county",2023,"IL","housing_score",106.2
17131,"county",2023,"IL","housing_score",106.2
17133,"county",2023,"IL","housing_score",118.09
17133,"county",2023,"IL","housing_score",118.09
17135,"county",2023,"IL","housing_score",98.78
17135,"county",2023,"IL","housing_score",98.78
17137,"county",2023,"IL","housing_score",104.16
17137,"county",2023,"IL","housing_score",104.16
17139,"county",2023,"IL","housing_score",100.64
17139,"county",2023,"IL","housing_score",100.64
17141,"county",2023,"IL","housing_score",114.25
17141,"county",2023,"IL","housing_score",114.25
17143,"county",2023,"IL","housing_score",111.43
17143,"county",2023,"IL","housing_score",111.43
17145,"county",2023,"IL","housing_score",93.41
17145,"county",2023,"IL","housing_score",93.41
17147,"county",2023,"IL","housing_score",113.53
17147,"county",2023,"IL","housing_score",113.53
17149,"county",2023,"IL","housing_score",90.76
17149,"county",2023,"IL","housing_score",90.76
17151,"county",2023,"IL","housing_score",58.37
17151,"county",2023,"IL","housing_score",58.37
