"geoid","geolevel","year","level","value"
"32001","county",2019,"housing_score",109.81
"32003","county",2019,"housing_score",137.44
"32005","county",2019,"housing_score",118.39
"32007","county",2019,"housing_score",112.12
"32009","county",2019,"housing_score",42.43
"32011","county",2019,"housing_score",72.82
"32013","county",2019,"housing_score",107.11
"32015","county",2019,"housing_score",99.02
"32017","county",2019,"housing_score",90.89
"32019","county",2019,"housing_score",117.86
"32021","county",2019,"housing_score",70.34
"32023","county",2019,"housing_score",102.02
"32027","county",2019,"housing_score",93.02
"32029","county",2019,"housing_score",104.31
"32031","county",2019,"housing_score",129.88
"32033","county",2019,"housing_score",92.54
"32510","county",2019,"housing_score",118.63
"32001","county",2019,"housing_rnk",70.876
"32003","county",2019,"housing_rnk",95.9079
"32005","county",2019,"housing_rnk",83.344
"32007","county",2019,"housing_rnk",75.1598
"32009","county",2019,"housing_rnk",0.2877
"32011","county",2019,"housing_rnk",7.4808
"32013","county",2019,"housing_rnk",65.4092
"32015","county",2019,"housing_rnk",49.1688
"32017","county",2019,"housing_rnk",32.321
"32019","county",2019,"housing_rnk",82.8645
"32021","county",2019,"housing_rnk",5.8824
"32023","county",2019,"housing_rnk",55.8504
"32027","county",2019,"housing_rnk",36.7008
"32029","county",2019,"housing_rnk",60.4859
"32031","county",2019,"housing_rnk",93.1266
"32033","county",2019,"housing_rnk",35.9015
"32510","county",2019,"housing_rnk",83.5997
"32001","county",2019,"housing_state_rnk",62.5
"32003","county",2019,"housing_state_rnk",100
"32005","county",2019,"housing_state_rnk",81.25
"32007","county",2019,"housing_state_rnk",68.75
"32009","county",2019,"housing_state_rnk",0
"32011","county",2019,"housing_state_rnk",12.5
"32013","county",2019,"housing_state_rnk",56.25
"32015","county",2019,"housing_state_rnk",37.5
"32017","county",2019,"housing_state_rnk",18.75
"32019","county",2019,"housing_state_rnk",75
"32021","county",2019,"housing_state_rnk",6.25
"32023","county",2019,"housing_state_rnk",43.75
"32027","county",2019,"housing_state_rnk",31.25
"32029","county",2019,"housing_state_rnk",50
"32031","county",2019,"housing_state_rnk",93.75
"32033","county",2019,"housing_state_rnk",25
"32510","county",2019,"housing_state_rnk",87.5
