"geoid","geolevel","year","level","value"
"15001","county",2019,"housing_score",105.65
"15003","county",2019,"housing_score",137.88
"15005","county",2019,"housing_score",NA
"15007","county",2019,"housing_score",113.91
"15009","county",2019,"housing_score",122.87
"15001","county",2019,"housing_rnk",63.0754
"15003","county",2019,"housing_rnk",96.0997
"15005","county",2019,"housing_rnk",NA
"15007","county",2019,"housing_rnk",77.8133
"15009","county",2019,"housing_rnk",87.9156
"15001","county",2019,"housing_state_rnk",0
"15003","county",2019,"housing_state_rnk",100
"15005","county",2019,"housing_state_rnk",NA
"15007","county",2019,"housing_state_rnk",33.3333
"15009","county",2019,"housing_state_rnk",66.6667
