"geoid","geolevel","year","state","level","value"
89001,"zcta",2019,"NV","housing_score",79.56
89001,"zcta",2019,"NV","housing_score",79.56
89002,"zcta",2019,"NV","housing_score",128.01
89002,"zcta",2019,"NV","housing_score",128.01
89003,"zcta",2019,"NV","housing_score",92.25
89003,"zcta",2019,"NV","housing_score",92.25
89004,"zcta",2019,"NV","housing_score",105.64
89004,"zcta",2019,"NV","housing_score",105.64
89005,"zcta",2019,"NV","housing_score",105.6
89005,"zcta",2019,"NV","housing_score",105.6
89007,"zcta",2019,"NV","housing_score",92.01
89007,"zcta",2019,"NV","housing_score",92.01
89008,"zcta",2019,"NV","housing_score",85.85
89008,"zcta",2019,"NV","housing_score",85.85
89010,"zcta",2019,"NV","housing_score",66.03
89010,"zcta",2019,"NV","housing_score",66.03
89010,"zcta",2019,"NV","housing_score",66.03
89010,"zcta",2019,"NV","housing_score",66.03
89010,"zcta",2019,"NV","housing_score",66.03
89010,"zcta",2019,"NV","housing_score",66.03
89010,"zcta",2019,"NV","housing_score",66.03
89010,"zcta",2019,"NV","housing_score",66.03
89011,"zcta",2019,"NV","housing_score",119.47
89011,"zcta",2019,"NV","housing_score",119.47
89012,"zcta",2019,"NV","housing_score",123.8
89012,"zcta",2019,"NV","housing_score",123.8
89013,"zcta",2019,"NV","housing_score",33.6
89013,"zcta",2019,"NV","housing_score",33.6
89014,"zcta",2019,"NV","housing_score",122.54
89014,"zcta",2019,"NV","housing_score",122.54
89015,"zcta",2019,"NV","housing_score",119.85
89015,"zcta",2019,"NV","housing_score",119.85
89017,"zcta",2019,"NV","housing_score",NA
89017,"zcta",2019,"NV","housing_score",NA
89018,"zcta",2019,"NV","housing_score",NA
89018,"zcta",2019,"NV","housing_score",NA
89019,"zcta",2019,"NV","housing_score",75
89019,"zcta",2019,"NV","housing_score",75
89019,"zcta",2019,"NV","housing_score",75
89019,"zcta",2019,"NV","housing_score",75
89019,"zcta",2019,"NV","housing_score",75
89019,"zcta",2019,"NV","housing_score",75
89019,"zcta",2019,"NV","housing_score",75
89019,"zcta",2019,"NV","housing_score",75
89020,"zcta",2019,"NV","housing_score",77.14
89020,"zcta",2019,"NV","housing_score",77.14
89021,"zcta",2019,"NV","housing_score",116.08
89021,"zcta",2019,"NV","housing_score",116.08
89022,"zcta",2019,"NV","housing_score",NA
89022,"zcta",2019,"NV","housing_score",NA
89025,"zcta",2019,"NV","housing_score",101.09
89025,"zcta",2019,"NV","housing_score",101.09
89026,"zcta",2019,"NV","housing_score",NA
89026,"zcta",2019,"NV","housing_score",NA
89027,"zcta",2019,"NV","housing_score",103.96
89027,"zcta",2019,"NV","housing_score",103.96
89029,"zcta",2019,"NV","housing_score",95.54
89029,"zcta",2019,"NV","housing_score",95.54
89030,"zcta",2019,"NV","housing_score",107.31
89030,"zcta",2019,"NV","housing_score",107.31
89031,"zcta",2019,"NV","housing_score",129.91
89031,"zcta",2019,"NV","housing_score",129.91
89032,"zcta",2019,"NV","housing_score",121.52
89032,"zcta",2019,"NV","housing_score",121.52
89039,"zcta",2019,"NV","housing_score",60.51
89039,"zcta",2019,"NV","housing_score",60.51
89040,"zcta",2019,"NV","housing_score",94.32
89040,"zcta",2019,"NV","housing_score",94.32
89042,"zcta",2019,"NV","housing_score",90.5
89042,"zcta",2019,"NV","housing_score",90.5
89043,"zcta",2019,"NV","housing_score",NA
89043,"zcta",2019,"NV","housing_score",NA
89044,"zcta",2019,"NV","housing_score",124.93
89044,"zcta",2019,"NV","housing_score",124.93
89045,"zcta",2019,"NV","housing_score",81.55
89045,"zcta",2019,"NV","housing_score",81.55
89046,"zcta",2019,"NV","housing_score",48.93
89046,"zcta",2019,"NV","housing_score",48.93
89047,"zcta",2019,"NV","housing_score",65.13
89047,"zcta",2019,"NV","housing_score",65.13
89048,"zcta",2019,"NV","housing_score",103.52
89048,"zcta",2019,"NV","housing_score",103.52
89049,"zcta",2019,"NV","housing_score",71.18
89049,"zcta",2019,"NV","housing_score",71.18
89052,"zcta",2019,"NV","housing_score",128.42
89052,"zcta",2019,"NV","housing_score",128.42
89054,"zcta",2019,"NV","housing_score",NA
89054,"zcta",2019,"NV","housing_score",NA
89060,"zcta",2019,"NV","housing_score",97.81
89060,"zcta",2019,"NV","housing_score",97.81
89060,"zcta",2019,"NV","housing_score",97.81
89060,"zcta",2019,"NV","housing_score",97.81
89060,"zcta",2019,"NV","housing_score",97.81
89060,"zcta",2019,"NV","housing_score",97.81
89060,"zcta",2019,"NV","housing_score",97.81
89060,"zcta",2019,"NV","housing_score",97.81
89061,"zcta",2019,"NV","housing_score",106.71
89061,"zcta",2019,"NV","housing_score",106.71
89061,"zcta",2019,"NV","housing_score",106.71
89061,"zcta",2019,"NV","housing_score",106.71
89061,"zcta",2019,"NV","housing_score",106.71
89061,"zcta",2019,"NV","housing_score",106.71
89061,"zcta",2019,"NV","housing_score",106.71
89061,"zcta",2019,"NV","housing_score",106.71
89074,"zcta",2019,"NV","housing_score",126.02
89074,"zcta",2019,"NV","housing_score",126.02
89081,"zcta",2019,"NV","housing_score",126.5
89081,"zcta",2019,"NV","housing_score",126.5
89084,"zcta",2019,"NV","housing_score",128.16
89084,"zcta",2019,"NV","housing_score",128.16
89085,"zcta",2019,"NV","housing_score",131.16
89085,"zcta",2019,"NV","housing_score",131.16
89086,"zcta",2019,"NV","housing_score",125.42
89086,"zcta",2019,"NV","housing_score",125.42
89101,"zcta",2019,"NV","housing_score",103.58
89101,"zcta",2019,"NV","housing_score",103.58
89102,"zcta",2019,"NV","housing_score",107.93
89102,"zcta",2019,"NV","housing_score",107.93
89103,"zcta",2019,"NV","housing_score",106.31
89103,"zcta",2019,"NV","housing_score",106.31
89104,"zcta",2019,"NV","housing_score",105.67
89104,"zcta",2019,"NV","housing_score",105.67
89106,"zcta",2019,"NV","housing_score",109.38
89106,"zcta",2019,"NV","housing_score",109.38
89107,"zcta",2019,"NV","housing_score",114.9
89107,"zcta",2019,"NV","housing_score",114.9
89108,"zcta",2019,"NV","housing_score",121.49
89108,"zcta",2019,"NV","housing_score",121.49
89109,"zcta",2019,"NV","housing_score",75.34
89109,"zcta",2019,"NV","housing_score",75.34
89110,"zcta",2019,"NV","housing_score",114.22
89110,"zcta",2019,"NV","housing_score",114.22
89113,"zcta",2019,"NV","housing_score",122.47
89113,"zcta",2019,"NV","housing_score",122.47
89115,"zcta",2019,"NV","housing_score",113.91
89115,"zcta",2019,"NV","housing_score",113.91
89117,"zcta",2019,"NV","housing_score",121.46
89117,"zcta",2019,"NV","housing_score",121.46
89118,"zcta",2019,"NV","housing_score",115.25
89118,"zcta",2019,"NV","housing_score",115.25
89119,"zcta",2019,"NV","housing_score",114.29
89119,"zcta",2019,"NV","housing_score",114.29
89120,"zcta",2019,"NV","housing_score",116.73
89120,"zcta",2019,"NV","housing_score",116.73
89121,"zcta",2019,"NV","housing_score",111
89121,"zcta",2019,"NV","housing_score",111
89122,"zcta",2019,"NV","housing_score",114.2
89122,"zcta",2019,"NV","housing_score",114.2
89123,"zcta",2019,"NV","housing_score",125.93
89123,"zcta",2019,"NV","housing_score",125.93
89124,"zcta",2019,"NV","housing_score",101.43
89124,"zcta",2019,"NV","housing_score",101.43
89128,"zcta",2019,"NV","housing_score",122.1
89128,"zcta",2019,"NV","housing_score",122.1
89129,"zcta",2019,"NV","housing_score",128.08
89129,"zcta",2019,"NV","housing_score",128.08
89130,"zcta",2019,"NV","housing_score",124.06
89130,"zcta",2019,"NV","housing_score",124.06
89131,"zcta",2019,"NV","housing_score",133.23
89131,"zcta",2019,"NV","housing_score",133.23
89134,"zcta",2019,"NV","housing_score",116.1
89134,"zcta",2019,"NV","housing_score",116.1
89135,"zcta",2019,"NV","housing_score",128.11
89135,"zcta",2019,"NV","housing_score",128.11
89138,"zcta",2019,"NV","housing_score",135.23
89138,"zcta",2019,"NV","housing_score",135.23
89139,"zcta",2019,"NV","housing_score",128.57
89139,"zcta",2019,"NV","housing_score",128.57
89141,"zcta",2019,"NV","housing_score",133.18
89141,"zcta",2019,"NV","housing_score",133.18
89142,"zcta",2019,"NV","housing_score",117.35
89142,"zcta",2019,"NV","housing_score",117.35
89143,"zcta",2019,"NV","housing_score",126.57
89143,"zcta",2019,"NV","housing_score",126.57
89144,"zcta",2019,"NV","housing_score",123.93
89144,"zcta",2019,"NV","housing_score",123.93
89145,"zcta",2019,"NV","housing_score",110.23
89145,"zcta",2019,"NV","housing_score",110.23
89146,"zcta",2019,"NV","housing_score",113.23
89146,"zcta",2019,"NV","housing_score",113.23
89147,"zcta",2019,"NV","housing_score",121.31
89147,"zcta",2019,"NV","housing_score",121.31
89148,"zcta",2019,"NV","housing_score",128.42
89148,"zcta",2019,"NV","housing_score",128.42
89149,"zcta",2019,"NV","housing_score",126.75
89149,"zcta",2019,"NV","housing_score",126.75
89156,"zcta",2019,"NV","housing_score",112.66
89156,"zcta",2019,"NV","housing_score",112.66
89161,"zcta",2019,"NV","housing_score",109.4
89161,"zcta",2019,"NV","housing_score",109.4
89166,"zcta",2019,"NV","housing_score",130.27
89166,"zcta",2019,"NV","housing_score",130.27
89169,"zcta",2019,"NV","housing_score",105.74
89169,"zcta",2019,"NV","housing_score",105.74
89178,"zcta",2019,"NV","housing_score",133.29
89178,"zcta",2019,"NV","housing_score",133.29
89179,"zcta",2019,"NV","housing_score",128.57
89179,"zcta",2019,"NV","housing_score",128.57
89183,"zcta",2019,"NV","housing_score",126.47
89183,"zcta",2019,"NV","housing_score",126.47
89191,"zcta",2019,"NV","housing_score",NA
89191,"zcta",2019,"NV","housing_score",NA
89301,"zcta",2019,"NV","housing_score",97.25
89301,"zcta",2019,"NV","housing_score",97.25
89310,"zcta",2019,"NV","housing_score",61.47
89310,"zcta",2019,"NV","housing_score",61.47
89311,"zcta",2019,"NV","housing_score",80.12
89311,"zcta",2019,"NV","housing_score",80.12
89314,"zcta",2019,"NV","housing_score",63.01
89314,"zcta",2019,"NV","housing_score",63.01
89316,"zcta",2019,"NV","housing_score",78.35
89316,"zcta",2019,"NV","housing_score",78.35
89317,"zcta",2019,"NV","housing_score",89.49
89317,"zcta",2019,"NV","housing_score",89.49
89318,"zcta",2019,"NV","housing_score",75.03
89318,"zcta",2019,"NV","housing_score",75.03
89319,"zcta",2019,"NV","housing_score",74.12
89319,"zcta",2019,"NV","housing_score",74.12
89402,"zcta",2019,"NV","housing_score",NA
89402,"zcta",2019,"NV","housing_score",NA
89403,"zcta",2019,"NV","housing_score",112.16
89403,"zcta",2019,"NV","housing_score",112.16
89404,"zcta",2019,"NV","housing_score",NA
89404,"zcta",2019,"NV","housing_score",NA
89405,"zcta",2019,"NV","housing_score",NA
89405,"zcta",2019,"NV","housing_score",NA
89406,"zcta",2019,"NV","housing_score",105.71
89406,"zcta",2019,"NV","housing_score",105.71
89408,"zcta",2019,"NV","housing_score",118.86
89408,"zcta",2019,"NV","housing_score",118.86
89409,"zcta",2019,"NV","housing_score",60.74
89409,"zcta",2019,"NV","housing_score",60.74
89410,"zcta",2019,"NV","housing_score",113.32
89410,"zcta",2019,"NV","housing_score",113.32
89411,"zcta",2019,"NV","housing_score",97.77
89411,"zcta",2019,"NV","housing_score",97.77
89412,"zcta",2019,"NV","housing_score",89.29
89412,"zcta",2019,"NV","housing_score",89.29
89413,"zcta",2019,"NV","housing_score",115.44
89413,"zcta",2019,"NV","housing_score",115.44
89414,"zcta",2019,"NV","housing_score",68.27
89414,"zcta",2019,"NV","housing_score",68.27
89415,"zcta",2019,"NV","housing_score",77.3
89415,"zcta",2019,"NV","housing_score",77.3
89418,"zcta",2019,"NV","housing_score",74.87
89418,"zcta",2019,"NV","housing_score",74.87
89419,"zcta",2019,"NV","housing_score",NA
89419,"zcta",2019,"NV","housing_score",NA
89420,"zcta",2019,"NV","housing_score",NA
89420,"zcta",2019,"NV","housing_score",NA
89421,"zcta",2019,"NV","housing_score",72.91
89421,"zcta",2019,"NV","housing_score",72.91
89421,"zcta",2019,"NV","housing_score",72.91
89421,"zcta",2019,"NV","housing_score",72.91
89422,"zcta",2019,"NV","housing_score",72.55
89422,"zcta",2019,"NV","housing_score",72.55
89423,"zcta",2019,"NV","housing_score",117.98
89423,"zcta",2019,"NV","housing_score",117.98
89424,"zcta",2019,"NV","housing_score",82.89
89424,"zcta",2019,"NV","housing_score",82.89
89425,"zcta",2019,"NV","housing_score",89.09
89425,"zcta",2019,"NV","housing_score",89.09
89426,"zcta",2019,"NV","housing_score",78.21
89426,"zcta",2019,"NV","housing_score",78.21
89427,"zcta",2019,"NV","housing_score",64.8
89427,"zcta",2019,"NV","housing_score",64.8
89428,"zcta",2019,"NV","housing_score",92.45
89428,"zcta",2019,"NV","housing_score",92.45
89429,"zcta",2019,"NV","housing_score",99.53
89429,"zcta",2019,"NV","housing_score",99.53
89430,"zcta",2019,"NV","housing_score",99.97
89430,"zcta",2019,"NV","housing_score",99.97
89431,"zcta",2019,"NV","housing_score",111.06
89431,"zcta",2019,"NV","housing_score",111.06
89433,"zcta",2019,"NV","housing_score",108.58
89433,"zcta",2019,"NV","housing_score",108.58
89434,"zcta",2019,"NV","housing_score",120.2
89434,"zcta",2019,"NV","housing_score",120.2
89436,"zcta",2019,"NV","housing_score",132.01
89436,"zcta",2019,"NV","housing_score",132.01
89438,"zcta",2019,"NV","housing_score",NA
89438,"zcta",2019,"NV","housing_score",NA
89439,"zcta",2019,"NV","housing_score",114.55
