"geoid","geolevel","year","state","level","value"
38601,"zcta",2019,"MS","housing_score",85.08
38601,"zcta",2019,"MS","housing_score",85.08
38603,"zcta",2019,"MS","housing_score",81.66
38603,"zcta",2019,"MS","housing_score",81.66
38606,"zcta",2019,"MS","housing_score",97.94
38606,"zcta",2019,"MS","housing_score",97.94
38610,"zcta",2019,"MS","housing_score",78.01
38610,"zcta",2019,"MS","housing_score",78.01
38611,"zcta",2019,"MS","housing_score",96.99
38611,"zcta",2019,"MS","housing_score",96.99
38614,"zcta",2019,"MS","housing_score",89.85
38614,"zcta",2019,"MS","housing_score",89.85
38617,"zcta",2019,"MS","housing_score",82.36
38617,"zcta",2019,"MS","housing_score",82.36
38618,"zcta",2019,"MS","housing_score",94.61
38618,"zcta",2019,"MS","housing_score",94.61
38619,"zcta",2019,"MS","housing_score",83.86
38619,"zcta",2019,"MS","housing_score",83.86
38620,"zcta",2019,"MS","housing_score",90.38
38620,"zcta",2019,"MS","housing_score",90.38
38621,"zcta",2019,"MS","housing_score",74.63
38621,"zcta",2019,"MS","housing_score",74.63
38622,"zcta",2019,"MS","housing_score",78.94
38622,"zcta",2019,"MS","housing_score",78.94
38623,"zcta",2019,"MS","housing_score",73.08
38623,"zcta",2019,"MS","housing_score",73.08
38625,"zcta",2019,"MS","housing_score",87.96
38625,"zcta",2019,"MS","housing_score",87.96
38626,"zcta",2019,"MS","housing_score",81.54
38626,"zcta",2019,"MS","housing_score",81.54
38627,"zcta",2019,"MS","housing_score",91.37
38627,"zcta",2019,"MS","housing_score",91.37
38629,"zcta",2019,"MS","housing_score",81.4
38629,"zcta",2019,"MS","housing_score",81.4
38630,"zcta",2019,"MS","housing_score",NA
38630,"zcta",2019,"MS","housing_score",NA
38631,"zcta",2019,"MS","housing_score",86.07
38631,"zcta",2019,"MS","housing_score",86.07
38632,"zcta",2019,"MS","housing_score",116.18
38632,"zcta",2019,"MS","housing_score",116.18
38633,"zcta",2019,"MS","housing_score",89.2
38633,"zcta",2019,"MS","housing_score",89.2
38635,"zcta",2019,"MS","housing_score",91.7
38635,"zcta",2019,"MS","housing_score",91.7
38637,"zcta",2019,"MS","housing_score",116.4
38637,"zcta",2019,"MS","housing_score",116.4
38639,"zcta",2019,"MS","housing_score",67.13
38639,"zcta",2019,"MS","housing_score",67.13
38641,"zcta",2019,"MS","housing_score",103.51
38641,"zcta",2019,"MS","housing_score",103.51
38642,"zcta",2019,"MS","housing_score",81.44
38642,"zcta",2019,"MS","housing_score",81.44
38643,"zcta",2019,"MS","housing_score",70.11
38643,"zcta",2019,"MS","housing_score",70.11
38644,"zcta",2019,"MS","housing_score",62.8
38644,"zcta",2019,"MS","housing_score",62.8
38645,"zcta",2019,"MS","housing_score",90
38645,"zcta",2019,"MS","housing_score",90
38646,"zcta",2019,"MS","housing_score",78.39
38646,"zcta",2019,"MS","housing_score",78.39
38647,"zcta",2019,"MS","housing_score",67.46
38647,"zcta",2019,"MS","housing_score",67.46
38650,"zcta",2019,"MS","housing_score",82.3
38650,"zcta",2019,"MS","housing_score",82.3
38651,"zcta",2019,"MS","housing_score",111.46
38651,"zcta",2019,"MS","housing_score",111.46
38652,"zcta",2019,"MS","housing_score",95.38
38652,"zcta",2019,"MS","housing_score",95.38
38654,"zcta",2019,"MS","housing_score",121.38
38654,"zcta",2019,"MS","housing_score",121.38
38655,"zcta",2019,"MS","housing_score",110.94
38655,"zcta",2019,"MS","housing_score",110.94
38658,"zcta",2019,"MS","housing_score",86.97
38658,"zcta",2019,"MS","housing_score",86.97
38659,"zcta",2019,"MS","housing_score",93.42
38659,"zcta",2019,"MS","housing_score",93.42
38661,"zcta",2019,"MS","housing_score",84.81
38661,"zcta",2019,"MS","housing_score",84.81
38663,"zcta",2019,"MS","housing_score",88.96
38663,"zcta",2019,"MS","housing_score",88.96
38664,"zcta",2019,"MS","housing_score",108.81
38664,"zcta",2019,"MS","housing_score",108.81
38665,"zcta",2019,"MS","housing_score",89.45
38665,"zcta",2019,"MS","housing_score",89.45
38666,"zcta",2019,"MS","housing_score",87.52
38666,"zcta",2019,"MS","housing_score",87.52
38668,"zcta",2019,"MS","housing_score",107
38668,"zcta",2019,"MS","housing_score",107
38670,"zcta",2019,"MS","housing_score",78.47
38670,"zcta",2019,"MS","housing_score",78.47
38671,"zcta",2019,"MS","housing_score",116.63
38671,"zcta",2019,"MS","housing_score",116.63
38672,"zcta",2019,"MS","housing_score",119.73
38672,"zcta",2019,"MS","housing_score",119.73
38673,"zcta",2019,"MS","housing_score",110.58
38673,"zcta",2019,"MS","housing_score",110.58
38674,"zcta",2019,"MS","housing_score",72.96
38674,"zcta",2019,"MS","housing_score",72.96
38676,"zcta",2019,"MS","housing_score",96.73
38676,"zcta",2019,"MS","housing_score",96.73
38677,"zcta",2019,"MS","housing_score",NA
38677,"zcta",2019,"MS","housing_score",NA
38680,"zcta",2019,"MS","housing_score",108.93
38680,"zcta",2019,"MS","housing_score",108.93
38683,"zcta",2019,"MS","housing_score",77.49
38683,"zcta",2019,"MS","housing_score",77.49
38685,"zcta",2019,"MS","housing_score",97.97
38685,"zcta",2019,"MS","housing_score",97.97
38701,"zcta",2019,"MS","housing_score",92.71
38701,"zcta",2019,"MS","housing_score",92.71
38702,"zcta",2019,"MS","housing_score",NA
38702,"zcta",2019,"MS","housing_score",NA
38703,"zcta",2019,"MS","housing_score",88.71
38703,"zcta",2019,"MS","housing_score",88.71
38704,"zcta",2019,"MS","housing_score",NA
38704,"zcta",2019,"MS","housing_score",NA
38720,"zcta",2019,"MS","housing_score",82.97
38720,"zcta",2019,"MS","housing_score",82.97
38721,"zcta",2019,"MS","housing_score",98.81
38721,"zcta",2019,"MS","housing_score",98.81
38722,"zcta",2019,"MS","housing_score",61.99
38722,"zcta",2019,"MS","housing_score",61.99
38723,"zcta",2019,"MS","housing_score",NA
38723,"zcta",2019,"MS","housing_score",NA
38725,"zcta",2019,"MS","housing_score",87.18
38725,"zcta",2019,"MS","housing_score",87.18
38726,"zcta",2019,"MS","housing_score",75.59
38726,"zcta",2019,"MS","housing_score",75.59
38730,"zcta",2019,"MS","housing_score",95.16
38730,"zcta",2019,"MS","housing_score",95.16
38731,"zcta",2019,"MS","housing_score",88.04
38731,"zcta",2019,"MS","housing_score",88.04
38732,"zcta",2019,"MS","housing_score",95.53
38732,"zcta",2019,"MS","housing_score",95.53
38736,"zcta",2019,"MS","housing_score",94
38736,"zcta",2019,"MS","housing_score",94
38737,"zcta",2019,"MS","housing_score",89.02
38737,"zcta",2019,"MS","housing_score",89.02
38738,"zcta",2019,"MS","housing_score",NA
38738,"zcta",2019,"MS","housing_score",NA
38740,"zcta",2019,"MS","housing_score",67.41
38740,"zcta",2019,"MS","housing_score",67.41
38744,"zcta",2019,"MS","housing_score",96.1
38744,"zcta",2019,"MS","housing_score",96.1
38745,"zcta",2019,"MS","housing_score",98.69
38745,"zcta",2019,"MS","housing_score",98.69
38746,"zcta",2019,"MS","housing_score",71.95
38746,"zcta",2019,"MS","housing_score",71.95
38748,"zcta",2019,"MS","housing_score",80.23
38748,"zcta",2019,"MS","housing_score",80.23
38749,"zcta",2019,"MS","housing_score",NA
38749,"zcta",2019,"MS","housing_score",NA
38751,"zcta",2019,"MS","housing_score",101.14
38751,"zcta",2019,"MS","housing_score",101.14
38753,"zcta",2019,"MS","housing_score",94.16
38753,"zcta",2019,"MS","housing_score",94.16
38754,"zcta",2019,"MS","housing_score",76.41
38754,"zcta",2019,"MS","housing_score",76.41
38756,"zcta",2019,"MS","housing_score",89.48
38756,"zcta",2019,"MS","housing_score",89.48
38759,"zcta",2019,"MS","housing_score",91.05
38759,"zcta",2019,"MS","housing_score",91.05
38760,"zcta",2019,"MS","housing_score",103.69
38760,"zcta",2019,"MS","housing_score",103.69
38761,"zcta",2019,"MS","housing_score",81.39
38761,"zcta",2019,"MS","housing_score",81.39
38762,"zcta",2019,"MS","housing_score",85.51
38762,"zcta",2019,"MS","housing_score",85.51
38764,"zcta",2019,"MS","housing_score",68.79
38764,"zcta",2019,"MS","housing_score",68.79
38765,"zcta",2019,"MS","housing_score",NA
38765,"zcta",2019,"MS","housing_score",NA
38767,"zcta",2019,"MS","housing_score",NA
38767,"zcta",2019,"MS","housing_score",NA
38768,"zcta",2019,"MS","housing_score",96.18
38768,"zcta",2019,"MS","housing_score",96.18
38769,"zcta",2019,"MS","housing_score",83.21
38769,"zcta",2019,"MS","housing_score",83.21
38769,"zcta",2019,"MS","housing_score",83.21
