"geoid","geolevel","year","state","level","value"
73002,"zcta",2019,"OK","housing_score",77.54
73002,"zcta",2019,"OK","housing_score",77.54
73003,"zcta",2019,"OK","housing_score",117.62
73003,"zcta",2019,"OK","housing_score",117.62
73004,"zcta",2019,"OK","housing_score",98.07
73004,"zcta",2019,"OK","housing_score",98.07
73005,"zcta",2019,"OK","housing_score",83.69
73005,"zcta",2019,"OK","housing_score",83.69
73006,"zcta",2019,"OK","housing_score",78.21
73006,"zcta",2019,"OK","housing_score",78.21
73007,"zcta",2019,"OK","housing_score",106.95
73007,"zcta",2019,"OK","housing_score",106.95
73008,"zcta",2019,"OK","housing_score",102.48
73008,"zcta",2019,"OK","housing_score",102.48
73009,"zcta",2019,"OK","housing_score",75.07
73009,"zcta",2019,"OK","housing_score",75.07
73010,"zcta",2019,"OK","housing_score",111.23
73010,"zcta",2019,"OK","housing_score",111.23
73011,"zcta",2019,"OK","housing_score",63.72
73011,"zcta",2019,"OK","housing_score",63.72
73012,"zcta",2019,"OK","housing_score",130.66
73012,"zcta",2019,"OK","housing_score",130.66
73013,"zcta",2019,"OK","housing_score",124.7
73013,"zcta",2019,"OK","housing_score",124.7
73014,"zcta",2019,"OK","housing_score",86.87
73014,"zcta",2019,"OK","housing_score",86.87
73015,"zcta",2019,"OK","housing_score",73.31
73015,"zcta",2019,"OK","housing_score",73.31
73016,"zcta",2019,"OK","housing_score",105.4
73016,"zcta",2019,"OK","housing_score",105.4
73017,"zcta",2019,"OK","housing_score",69.9
73017,"zcta",2019,"OK","housing_score",69.9
73018,"zcta",2019,"OK","housing_score",97.11
73018,"zcta",2019,"OK","housing_score",97.11
73019,"zcta",2019,"OK","housing_score",NA
73019,"zcta",2019,"OK","housing_score",NA
73020,"zcta",2019,"OK","housing_score",113.09
73020,"zcta",2019,"OK","housing_score",113.09
73021,"zcta",2019,"OK","housing_score",76.58
73021,"zcta",2019,"OK","housing_score",76.58
73024,"zcta",2019,"OK","housing_score",96.13
73024,"zcta",2019,"OK","housing_score",96.13
73025,"zcta",2019,"OK","housing_score",128.09
73025,"zcta",2019,"OK","housing_score",128.09
73026,"zcta",2019,"OK","housing_score",105.49
73026,"zcta",2019,"OK","housing_score",105.49
73027,"zcta",2019,"OK","housing_score",87.77
73027,"zcta",2019,"OK","housing_score",87.77
73028,"zcta",2019,"OK","housing_score",93.05
73028,"zcta",2019,"OK","housing_score",93.05
73029,"zcta",2019,"OK","housing_score",79.16
73029,"zcta",2019,"OK","housing_score",79.16
73030,"zcta",2019,"OK","housing_score",87.07
73030,"zcta",2019,"OK","housing_score",87.07
73032,"zcta",2019,"OK","housing_score",67.98
73032,"zcta",2019,"OK","housing_score",67.98
73033,"zcta",2019,"OK","housing_score",84.44
73033,"zcta",2019,"OK","housing_score",84.44
73034,"zcta",2019,"OK","housing_score",123.34
73034,"zcta",2019,"OK","housing_score",123.34
73036,"zcta",2019,"OK","housing_score",99.86
73036,"zcta",2019,"OK","housing_score",99.86
73038,"zcta",2019,"OK","housing_score",71.97
73038,"zcta",2019,"OK","housing_score",71.97
73040,"zcta",2019,"OK","housing_score",88.9
73040,"zcta",2019,"OK","housing_score",88.9
73041,"zcta",2019,"OK","housing_score",80.06
73041,"zcta",2019,"OK","housing_score",80.06
73042,"zcta",2019,"OK","housing_score",78.68
73042,"zcta",2019,"OK","housing_score",78.68
73043,"zcta",2019,"OK","housing_score",72.14
73043,"zcta",2019,"OK","housing_score",72.14
73044,"zcta",2019,"OK","housing_score",108.25
73044,"zcta",2019,"OK","housing_score",108.25
73045,"zcta",2019,"OK","housing_score",103.03
73045,"zcta",2019,"OK","housing_score",103.03
73047,"zcta",2019,"OK","housing_score",92.94
73047,"zcta",2019,"OK","housing_score",92.94
73048,"zcta",2019,"OK","housing_score",86.28
73048,"zcta",2019,"OK","housing_score",86.28
73049,"zcta",2019,"OK","housing_score",104.92
73049,"zcta",2019,"OK","housing_score",104.92
73050,"zcta",2019,"OK","housing_score",NA
73050,"zcta",2019,"OK","housing_score",NA
73051,"zcta",2019,"OK","housing_score",96.01
73051,"zcta",2019,"OK","housing_score",96.01
73052,"zcta",2019,"OK","housing_score",88.91
73052,"zcta",2019,"OK","housing_score",88.91
73053,"zcta",2019,"OK","housing_score",84.39
73053,"zcta",2019,"OK","housing_score",84.39
73054,"zcta",2019,"OK","housing_score",100.57
73054,"zcta",2019,"OK","housing_score",100.57
73055,"zcta",2019,"OK","housing_score",92.05
73055,"zcta",2019,"OK","housing_score",92.05
73056,"zcta",2019,"OK","housing_score",78.89
73056,"zcta",2019,"OK","housing_score",78.89
73057,"zcta",2019,"OK","housing_score",80.21
73057,"zcta",2019,"OK","housing_score",80.21
73058,"zcta",2019,"OK","housing_score",88.49
73058,"zcta",2019,"OK","housing_score",88.49
73059,"zcta",2019,"OK","housing_score",92.33
73059,"zcta",2019,"OK","housing_score",92.33
73061,"zcta",2019,"OK","housing_score",103.44
73061,"zcta",2019,"OK","housing_score",103.44
73062,"zcta",2019,"OK","housing_score",61.74
73062,"zcta",2019,"OK","housing_score",61.74
73063,"zcta",2019,"OK","housing_score",87.01
73063,"zcta",2019,"OK","housing_score",87.01
73064,"zcta",2019,"OK","housing_score",115.47
73064,"zcta",2019,"OK","housing_score",115.47
73065,"zcta",2019,"OK","housing_score",112.08
73065,"zcta",2019,"OK","housing_score",112.08
73066,"zcta",2019,"OK","housing_score",85.35
73066,"zcta",2019,"OK","housing_score",85.35
73067,"zcta",2019,"OK","housing_score",92.13
73067,"zcta",2019,"OK","housing_score",92.13
73068,"zcta",2019,"OK","housing_score",103.12
73068,"zcta",2019,"OK","housing_score",103.12
73069,"zcta",2019,"OK","housing_score",108.7
73069,"zcta",2019,"OK","housing_score",108.7
73071,"zcta",2019,"OK","housing_score",117.7
73071,"zcta",2019,"OK","housing_score",117.7
73072,"zcta",2019,"OK","housing_score",119.65
73072,"zcta",2019,"OK","housing_score",119.65
73073,"zcta",2019,"OK","housing_score",102.12
73073,"zcta",2019,"OK","housing_score",102.12
73074,"zcta",2019,"OK","housing_score",83.45
73074,"zcta",2019,"OK","housing_score",83.45
73075,"zcta",2019,"OK","housing_score",83.04
73075,"zcta",2019,"OK","housing_score",83.04
73077,"zcta",2019,"OK","housing_score",88.63
73077,"zcta",2019,"OK","housing_score",88.63
73078,"zcta",2019,"OK","housing_score",115.45
73078,"zcta",2019,"OK","housing_score",115.45
73079,"zcta",2019,"OK","housing_score",83.08
73079,"zcta",2019,"OK","housing_score",83.08
73080,"zcta",2019,"OK","housing_score",98.7
73080,"zcta",2019,"OK","housing_score",98.7
73082,"zcta",2019,"OK","housing_score",89.67
73082,"zcta",2019,"OK","housing_score",89.67
73084,"zcta",2019,"OK","housing_score",94.36
73084,"zcta",2019,"OK","housing_score",94.36
73086,"zcta",2019,"OK","housing_score",87.23
73086,"zcta",2019,"OK","housing_score",87.23
73089,"zcta",2019,"OK","housing_score",109.93
73089,"zcta",2019,"OK","housing_score",109.93
73090,"zcta",2019,"OK","housing_score",99.49
73090,"zcta",2019,"OK","housing_score",99.49
73092,"zcta",2019,"OK","housing_score",83.48
73092,"zcta",2019,"OK","housing_score",83.48
73093,"zcta",2019,"OK","housing_score",107.9
73093,"zcta",2019,"OK","housing_score",107.9
73095,"zcta",2019,"OK","housing_score",84.83
73095,"zcta",2019,"OK","housing_score",84.83
73096,"zcta",2019,"OK","housing_score",102.88
73096,"zcta",2019,"OK","housing_score",102.88
73097,"zcta",2019,"OK","housing_score",89.65
73097,"zcta",2019,"OK","housing_score",89.65
73098,"zcta",2019,"OK","housing_score",82.42
73098,"zcta",2019,"OK","housing_score",82.42
73099,"zcta",2019,"OK","housing_score",122.38
73099,"zcta",2019,"OK","housing_score",122.38
73102,"zcta",2019,"OK","housing_score",NA
73102,"zcta",2019,"OK","housing_score",NA
73103,"zcta",2019,"OK","housing_score",113.31
73103,"zcta",2019,"OK","housing_score",113.31
73104,"zcta",2019,"OK","housing_score",110.34
73104,"zcta",2019,"OK","housing_score",110.34
73105,"zcta",2019,"OK","housing_score",102.54
73105,"zcta",2019,"OK","housing_score",102.54
73106,"zcta",2019,"OK","housing_score",105.97
73106,"zcta",2019,"OK","housing_score",105.97
73107,"zcta",2019,"OK","housing_score",106.73
73107,"zcta",2019,"OK","housing_score",106.73
73108,"zcta",2019,"OK","housing_score",81.83
73108,"zcta",2019,"OK","housing_score",81.83
73109,"zcta",2019,"OK","housing_score",97.98
73109,"zcta",2019,"OK","housing_score",97.98
73110,"zcta",2019,"OK","housing_score",111.51
73110,"zcta",2019,"OK","housing_score",111.51
73111,"zcta",2019,"OK","housing_score",95.9
73111,"zcta",2019,"OK","housing_score",95.9
73112,"zcta",2019,"OK","housing_score",109.49
73112,"zcta",2019,"OK","housing_score",109.49
73114,"zcta",2019,"OK","housing_score",106.56
73114,"zcta",2019,"OK","housing_score",106.56
73115,"zcta",2019,"OK","housing_score",103.31
73115,"zcta",2019,"OK","housing_score",103.31
73116,"zcta",2019,"OK","housing_score",106.9
73116,"zcta",2019,"OK","housing_score",106.9
73117,"zcta",2019,"OK","housing_score",100.06
73117,"zcta",2019,"OK","housing_score",100.06
73118,"zcta",2019,"OK","housing_score",107.1
73118,"zcta",2019,"OK","housing_score",107.1
73119,"zcta",2019,"OK","housing_score",97.59
73119,"zcta",2019,"OK","housing_score",97.59
73120,"zcta",2019,"OK","housing_score",111.2
73120,"zcta",2019,"OK","housing_score",111.2
73121,"zcta",2019,"OK","housing_score",100.91
73121,"zcta",2019,"OK","housing_score",100.91
73122,"zcta",2019,"OK","housing_score",103.2
73122,"zcta",2019,"OK","housing_score",103.2
73127,"zcta",2019,"OK","housing_score",94.37
73127,"zcta",2019,"OK","housing_score",94.37
73128,"zcta",2019,"OK","housing_score",108.86
73128,"zcta",2019,"OK","housing_score",108.86
73129,"zcta",2019,"OK","housing_score",88.31
73129,"zcta",2019,"OK","housing_score",88.31
73130,"zcta",2019,"OK","housing_score",108.82
73130,"zcta",2019,"OK","housing_score",108.82
73131,"zcta",2019,"OK","housing_score",113.1
73131,"zcta",2019,"OK","housing_score",113.1
73132,"zcta",2019,"OK","housing_score",113.07
73132,"zcta",2019,"OK","housing_score",113.07
73134,"zcta",2019,"OK","housing_score",102.5
73134,"zcta",2019,"OK","housing_score",102.5
73135,"zcta",2019,"OK","housing_score",113.34
73135,"zcta",2019,"OK","housing_score",113.34
73139,"zcta",2019,"OK","housing_score",104.59
73139,"zcta",2019,"OK","housing_score",104.59
73141,"zcta",2019,"OK","housing_score",98.34
73141,"zcta",2019,"OK","housing_score",98.34
73142,"zcta",2019,"OK","housing_score",113.2
73142,"zcta",2019,"OK","housing_score",113.2
73145,"zcta",2019,"OK","housing_score",NA
73145,"zcta",2019,"OK","housing_score",NA
